Date,VIX
2008-04-01,20.790001
2008-05-01,17.829999999999998
2008-06-01,23.950001
2008-07-01,22.940000999999999
2008-08-01,20.649999999999999
2008-09-01,39.389999000000003
2008-10-01,59.889999000000003
2008-11-01,55.279998999999997
2008-12-01,40
2009-01-01,44.840000000000003
2009-02-01,46.349997999999999
2009-03-01,44.139999000000003
2009-04-01,36.5
2009-05-01,28.920000000000002
2009-06-01,26.350000000000001
2009-07-01,25.920000000000002
2009-08-01,26.010000000000002
2009-09-01,25.610001
2009-10-01,30.690000999999999
2009-11-01,24.510000000000002
2009-12-01,21.68
2010-01-01,24.620000999999998
2010-02-01,19.5
2010-03-01,17.59
2010-04-01,22.049999
2010-05-01,32.07
2010-06-01,34.540000999999997
2010-07-01,23.5
2010-08-01,26.049999
2010-09-01,23.700001
2010-10-01,21.200001
2010-11-01,23.540001
2010-12-01,17.75
2011-01-01,19.530000999999999
2011-02-01,18.350000000000001
2011-03-01,17.739999999999998
2011-04-01,14.75
2011-05-01,15.449999999999999
2011-06-01,16.52
2011-07-01,25.25
2011-08-01,31.620000999999998
2011-09-01,42.959999000000003
2011-10-01,29.959999
2011-11-01,27.799999
2011-12-01,23.399999999999999
2012-01-01,19.440000999999999
2012-02-01,18.43
2012-03-01,15.5
2012-04-01,17.149999999999999
2012-05-01,24.059999000000001
2012-06-01,17.079999999999998
2012-07-01,18.93
2012-08-01,17.469999000000001
2012-09-01,15.73
2012-10-01,18.600000000000001
2012-11-01,15.869999999999999
2012-12-01,18.02
2013-01-01,14.279999999999999
2013-02-01,15.51
2013-03-01,12.699999999999999
2013-04-01,13.52
2013-05-01,16.299999
2013-06-01,16.860001
2013-07-01,13.449999999999999
2013-08-01,17.010000000000002
2013-09-01,16.600000000000001
2013-10-01,13.75
2013-11-01,13.699999999999999
2013-12-01,13.720000000000001
2014-01-01,18.41
2014-02-01,14
2014-03-01,13.880000000000001
2014-04-01,13.41
2014-05-01,11.4
2014-06-01,11.57
2014-07-01,16.950001
2014-08-01,12.09
2014-09-01,16.309999000000001
2014-10-01,14.029999999999999
2014-11-01,13.33
2014-12-01,19.200001
2015-01-01,20.969999000000001
2015-02-01,13.34
2015-03-01,15.289999999999999
2015-04-01,14.550000000000001
2015-05-01,13.84
2015-06-01,18.23
2015-07-01,12.119999999999999
2015-08-01,28.43
2015-09-01,24.5
2015-10-01,15.07
2015-11-01,16.129999000000002
2015-12-01,18.209999
2016-01-01,20.200001
2016-02-01,20.549999
2016-03-01,13.949999999999999
2016-04-01,15.699999999999999
2016-05-01,14.19
2016-06-01,15.630000000000001
2016-07-01,11.869999999999999
2016-08-01,13.42
2016-09-01,13.289999999999999
2016-10-01,17.059999000000001
2016-11-01,13.33
2016-12-01,14.039999999999999
2017-01-01,11.99
2017-02-01,12.92
2017-03-01,12.369999999999999
2017-04-01,10.82
2017-05-01,10.41
2017-06-01,11.18
2017-07-01,10.26
2017-08-01,10.59
2017-09-01,9.5099999999999998
2017-10-01,10.18
2017-11-01,11.279999999999999
2017-12-01,11.039999999999999
2018-01-01,13.539999999999999
2018-02-01,19.850000000000001
2018-03-01,19.969999000000001
2018-04-01,15.93
2018-05-01,15.43
2018-06-01,16.09
2018-07-01,12.83
2018-08-01,12.859999999999999
2018-09-01,12.119999999999999
2018-10-01,21.23
2018-11-01,18.07
2018-12-01,25.420000000000002
2019-01-01,16.57
2019-02-01,14.779999999999999
2019-03-01,13.710000000000001
2019-04-01,13.119999999999999
2019-05-01,18.709999
2019-06-01,15.08
2019-07-01,16.120000999999998
2019-08-01,18.98
2019-09-01,16.239999999999998
2019-10-01,13.220000000000001
2019-11-01,12.619999999999999
2019-12-01,13.779999999999999
2020-01-01,18.84
2020-02-01,40.110000999999997
2020-03-01,53.540000999999997
2020-04-01,34.150002000000001
2020-05-01,27.510000000000002
2020-06-01,30.43
2020-07-01,24.459999
2020-08-01,26.41
2020-09-01,26.370000999999998
2020-10-01,38.020000000000003
2020-11-01,20.57
2020-12-01,22.75
2021-01-01,33.090000000000003
2021-02-01,27.950001
2021-03-01,19.399999999999999
2021-04-01,18.610001
2021-05-01,16.760000000000002
2021-06-01,15.83
2021-07-01,18.239999999999998
2021-08-01,16.48
2021-09-01,23.139999
2021-10-01,16.260000000000002
2021-11-01,27.190000999999999
2021-12-01,19.899999999999999
2021-12-13,19.200001
